TOWN,ZIPCODE,Average Customer Duration ( Hours),Total Duration Hours,# Events Affecting Town/Zipcode,Customers Served,Outages Per Customer,Events/Customer Above Average IND,Duration Above Average
ABINGTON,06230,24,31729.4,128,104,1.231,BelowAverage,BelowAverage
AMSTON,06231,20,166846.9,222,840,0.264,BelowAverage,BelowAverage
ANDOVER,06232,24,234042.6,299,1429,0.209,BelowAverage,BelowAverage
ASHFORD,06278,21,490057.4,455,2204,0.206,BelowAverage,BelowAverage
AVON,06001,21,1020814.8,584,8756,0.067,BelowAverage,BelowAverage
BALLOUVILLE,06233,15,15186.1,124,120,1.033,BelowAverage,BelowAverage
BALTIC,06330,18,180180.1,179,1266,0.141,BelowAverage,BelowAverage
BANTAM,06750,37,55011.0,85,873,0.097,BelowAverage,BelowAverage
BARKHAMSTED,06063,21,171757.8,211,1529,0.138,BelowAverage,BelowAverage
BEACON FALLS,06403,26,250917.0,244,2853,0.086,BelowAverage,BelowAverage
BETHANY,06524,28,703899.0,913,2396,0.381,BelowAverage,BelowAverage
BETHEL,06801,34,1661387.9,824,9015,0.091,BelowAverage,BelowAverage
BETHLEHEM,06751,21,196110.9,310,1933,0.160,BelowAverage,BelowAverage
BLOOMFIELD,06002,18,579255.5,577,10708,0.054,BelowAverage,BelowAverage
BOLTON,06043,15,256150.6,358,2258,0.159,BelowAverage,BelowAverage
BRANFORD,06405,27,2938028.9,903,16600,0.054,BelowAverage,BelowAverage
BRIDGEWATER,06752,20,196746.1,297,976,0.304,BelowAverage,BelowAverage
BRISTOL,06010,23,1407252.9,660,29940,0.022,BelowAverage,BelowAverage
BROAD BROOK,06016,37,307871.1,163,3042,0.054,BelowAverage,BelowAverage
BROOKFIELD,06804,46,2109661.3,1329,8487,0.157,BelowAverage,BelowAverage
BROOKLYN,06234,17,448797.7,689,3478,0.198,BelowAverage,BelowAverage
BURLINGTON,06013,24,408591.7,248,3921,0.063,BelowAverage,BelowAverage
CANAAN,06018,31,180586.2,159,1768,0.090,BelowAverage,BelowAverage
CANTERBURY,06331,17,479404.0,668,2302,0.290,BelowAverage,BelowAverage
CANTON,06019,16,280793.9,393,4982,0.079,BelowAverage,BelowAverage
CENTERBROOK,06409,17,76017.7,75,479,0.157,BelowAverage,BelowAverage
CENTRAL VILLAGE,06332,19,42023.5,92,612,0.150,BelowAverage,BelowAverage
CHAPLIN,06235,32,240203.3,253,1136,0.223,BelowAverage,BelowAverage
CHESHIRE,06410,18,1170816.3,874,11527,0.076,BelowAverage,BelowAverage
CHESTER,06412,28,491855.0,374,1977,0.189,BelowAverage,BelowAverage
CLINTON,06413,24,1626961.7,716,7161,0.100,BelowAverage,BelowAverage
COBALT,06414,19,20122.0,70,163,0.429,BelowAverage,BelowAverage
COLCHESTER,06415,24,1121874.2,726,7272,0.100,BelowAverage,BelowAverage
COLEBROOK,06021,28,125131.4,150,827,0.181,BelowAverage,BelowAverage
COLLINSVILLE,06022,26,2062.5,29,48,0.604,BelowAverage,BelowAverage
COLUMBIA,06237,22,409329.1,371,2495,0.149,BelowAverage,BelowAverage
CORNWALL,06753,35,73478.8,153,339,0.451,BelowAverage,BelowAverage
CORNWALL BRIDGE,06754,24,195402.2,227,959,0.237,BelowAverage,BelowAverage
COS COB,06807,44,480630.4,349,3222,0.108,BelowAverage,BelowAverage
COVENTRY,06238,21,674712.3,688,5697,0.121,BelowAverage,BelowAverage
CROMWELL,06416,11,215518.3,242,7165,0.034,BelowAverage,BelowAverage
DANBURY,06811,46,2918386.3,1231,12852,0.096,BelowAverage,BelowAverage
DANBURY,06810,44,2768257.4,1143,24688,0.046,BelowAverage,BelowAverage
DANIELSON,06239,13,508048.0,805,5661,0.142,BelowAverage,BelowAverage
DARIEN,06820,37,1298174.4,1226,8106,0.151,BelowAverage,BelowAverage
DAYVILLE,06241,17,232252.0,489,2487,0.197,BelowAverage,BelowAverage
DEEP RIVER,06417,27,657058.8,415,2476,0.168,BelowAverage,BelowAverage
DURHAM,06422,21,600645.4,430,3137,0.137,BelowAverage,BelowAverage
EAST BERLIN,06023,11,8568.1,26,604,0.043,BelowAverage,BelowAverage
EAST CANAAN,06024,20,23933.9,53,226,0.235,BelowAverage,BelowAverage
EAST GLASTONBURY,06025,23,1108.8,4,23,0.174,BelowAverage,BelowAverage
EAST GRANBY,06026,13,95985.4,115,2667,0.043,BelowAverage,BelowAverage
EAST HADDAM,06423,26,893074.7,927,3315,0.280,BelowAverage,BelowAverage
EAST HAMPTON,06424,18,812812.9,767,6180,0.124,BelowAverage,BelowAverage
EAST HARTFORD,06108,22,225406.8,211,11377,0.019,BelowAverage,BelowAverage
EAST HARTFORD,06118,26,760668.7,308,11831,0.026,BelowAverage,BelowAverage
EAST HARTLAND,06027,6,27204.7,71,625,0.114,BelowAverage,BelowAverage
EAST KILLINGLY,06243,13,91306.6,271,553,0.490,BelowAverage,BelowAverage
EAST LYME,06333,24,420993.1,309,3484,0.089,BelowAverage,BelowAverage
EAST WINDSOR,06088,26,113044.7,174,3264,0.053,BelowAverage,BelowAverage
EASTFORD,06242,20,212918.4,312,929,0.336,BelowAverage,BelowAverage
ELLINGTON,06029,22,422188.8,346,7705,0.045,BelowAverage,BelowAverage
ENFIELD,06082,19,703998.9,367,19577,0.019,BelowAverage,BelowAverage
ESSEX,06426,30,447455.4,289,2338,0.124,BelowAverage,BelowAverage
FABYAN,06245,19,2312.7,24,18,1.333,BelowAverage,BelowAverage
FAIRFIELD,06824,23,5033.1,18,30,0.600,BelowAverage,BelowAverage
FALLS VILLAGE,06031,21,97130.8,139,796,0.175,BelowAverage,BelowAverage
FARMINGTON,06032,33,801446.8,439,9864,0.045,BelowAverage,BelowAverage
GALES FERRY,06335,29,492587.4,375,2960,0.127,BelowAverage,BelowAverage
GAYLORDSVILLE,06755,52,78102.6,96,507,0.189,BelowAverage,BelowAverage
GEORGETOWN,06829,37,48119.5,106,215,0.493,BelowAverage,BelowAverage
GLASTONBURY,06033,30,1500291.7,863,14067,0.061,BelowAverage,BelowAverage
GOSHEN,06756,24,224760.0,217,1931,0.112,BelowAverage,BelowAverage
GRANBY,06035,9,104130.2,202,3596,0.056,BelowAverage,BelowAverage
GREENWICH,06831,48,1532584.3,1206,6295,0.192,BelowAverage,BelowAverage
GREENWICH,06830,49,1768992.8,1474,12789,0.115,BelowAverage,BelowAverage
GROSVENOR DALE,06246,10,10697.9,56,189,0.296,BelowAverage,BelowAverage
GROTON,06340,36,172532.0,92,1226,0.075,BelowAverage,BelowAverage
GUILFORD,06437,29,2334734.6,1348,11080,0.122,BelowAverage,BelowAverage
HADDAM,06438,20,223059.9,497,1347,0.369,BelowAverage,BelowAverage
HADLYME,06439,20,38449.7,79,145,0.545,BelowAverage,BelowAverage
HAMPTON,06247,23,232655.3,314,899,0.349,BelowAverage,BelowAverage
HANOVER,06350,18,29502.9,41,132,0.311,BelowAverage,BelowAverage
HARTFORD,06101,27,894.7,18,37,0.486,BelowAverage,BelowAverage
HARTFORD,06103,17,5048.2,30,2208,0.014,BelowAverage,BelowAverage
HARTFORD,06120,24,99932.6,80,5781,0.014,BelowAverage,BelowAverage
HARTFORD,06112,15,171098.0,139,9971,0.014,BelowAverage,BelowAverage
HARTFORD,06105,31,67860.6,90,11043,0.008,BelowAverage,BelowAverage
HARTFORD,06114,21,147171.9,110,12713,0.009,BelowAverage,BelowAverage
HARTFORD,06106,17,250380.1,149,18351,0.008,BelowAverage,BelowAverage
HARWINTON,06791,31,464165.0,361,2583,0.140,BelowAverage,BelowAverage
HEBRON,06248,20,631885.5,461,3157,0.146,BelowAverage,BelowAverage
HIGGANUM,06441,20,486352.9,473,2395,0.197,BelowAverage,BelowAverage
IVORYTON,06442,20,279490.3,168,1210,0.139,BelowAverage,BelowAverage
JEWETT CITY,06351,18,606725.3,755,5384,0.140,BelowAverage,BelowAverage
KENSINGTON,06037,18,366536.2,352,9290,0.038,BelowAverage,BelowAverage
KENT,06757,28,293857.7,316,1750,0.181,BelowAverage,BelowAverage
KILLINGWORTH,06419,23,715953.4,714,2882,0.248,BelowAverage,BelowAverage
LAKESIDE,06758,32,22616.0,37,127,0.291,BelowAverage,BelowAverage
LAKEVILLE,06039,29,187744.8,189,1530,0.124,BelowAverage,BelowAverage
LEBANON,06249,22,533654.2,540,2232,0.242,BelowAverage,BelowAverage
LEDYARD,06339,26,722287.1,511,3825,0.134,BelowAverage,BelowAverage
LITCHFIELD,06759,25,355087.7,469,3302,0.142,BelowAverage,BelowAverage
MADISON,06443,27,1974084.5,1165,9230,0.126,BelowAverage,BelowAverage
MANCHESTER,06042,14,320497.4,236,10919,0.022,BelowAverage,BelowAverage
MANCHESTER,06040,17,687768.0,558,18348,0.030,BelowAverage,BelowAverage
MANSFIELD CENTER,06250,20,440729.2,417,2888,0.144,BelowAverage,BelowAverage
MANSFIELD DEPOT,06251,20,2376.6,24,47,0.511,BelowAverage,BelowAverage
MARION,06444,20,25030.7,41,247,0.166,BelowAverage,BelowAverage
