"county","tract","bg","zcta5","cntyname","zipname","pop2k","afact"
"county","tract","bg","ZIP Census Tabulation Area","cntyname","zipname","Total Pop, 2000 census","bg to zcta5 allocation factor"
"09001","0101.01","1","06831","Fairfield CT","GREENWICH",779,1 
"09001","0101.01","2","06831","Fairfield CT","GREENWICH",785,1 
"09001","0101.01","3","06831","Fairfield CT","GREENWICH",1494,1 
"09001","0101.01","4","06831","Fairfield CT","GREENWICH",1603,1 
"09001","0101.02","1","06830","Fairfield CT","BYRAM",820,0.617 
"09001","0101.02","1","06831","Fairfield CT","GREENWICH",509,0.383 
"09001","0101.02","2","06830","Fairfield CT","BYRAM",773,0.4908 
"09001","0101.02","2","06831","Fairfield CT","GREENWICH",802,0.5092 
"09001","0101.02","3","06831","Fairfield CT","GREENWICH",1572,1 
"09001","0102.01","2","06830","Fairfield CT","BYRAM",1133,1 
"09001","0102.01","3","06830","Fairfield CT","BYRAM",1307,1 
"09001","0102.01","4","06830","Fairfield CT","BYRAM",762,0.7658 
"09001","0102.01","4","06831","Fairfield CT","GREENWICH",233,0.2342 
"09001","0102.02","1","06807","Fairfield CT","COS COB",889,1 
"09001","0102.02","2","06807","Fairfield CT","COS COB",2292,0.7622 
"09001","0102.02","2","06830","Fairfield CT","BYRAM",715,0.2378 
"09001","0102.02","3","06807","Fairfield CT","COS COB",1031,0.7799 
"09001","0102.02","3","06870","Fairfield CT","OLD GREENWICH",291,0.2201 
"09001","0103.00","1","06830","Fairfield CT","BYRAM",738,1 
"09001","0103.00","2","06830","Fairfield CT","BYRAM",1043,1 
"09001","0103.00","3","06830","Fairfield CT","BYRAM",239,0.3352 
"09001","0103.00","3","06831","Fairfield CT","GREENWICH",474,0.6648 
"09001","0103.00","4","06831","Fairfield CT","GREENWICH",748,1 
"09001","0103.00","5","06831","Fairfield CT","GREENWICH",878,1 
"09001","0104.00","1","06831","Fairfield CT","GREENWICH",979,1 
"09001","0104.00","2","06831","Fairfield CT","GREENWICH",1133,1 
"09001","0104.00","3","06831","Fairfield CT","GREENWICH",1056,1 
"09001","0104.00","4","06831","Fairfield CT","GREENWICH",642,1 
"09001","0104.00","5","06831","Fairfield CT","GREENWICH",676,1 
"09001","0104.00","6","06831","Fairfield CT","GREENWICH",630,1 
"09001","0105.00","1","06830","Fairfield CT","BYRAM",720,1 
"09001","0105.00","2","06830","Fairfield CT","BYRAM",803,1 
"09001","0105.00","3","06830","Fairfield CT","BYRAM",708,1 
"09001","0105.00","4","06830","Fairfield CT","BYRAM",781,1 
"09001","0105.00","5","06830","Fairfield CT","BYRAM",922,1 
"09001","0105.00","6","06830","Fairfield CT","BYRAM",1633,1 
"09001","0106.00","1","06830","Fairfield CT","BYRAM",686,1 
"09001","0106.00","2","06830","Fairfield CT","BYRAM",498,1 
"09001","0106.00","3","06830","Fairfield CT","BYRAM",937,1 
"09001","0107.00","1","06830","Fairfield CT","BYRAM",701,1 
"09001","0107.00","3","06830","Fairfield CT","BYRAM",1237,1 
"09001","0107.00","4","06830","Fairfield CT","BYRAM",663,1 
"09001","0107.00","6","06830","Fairfield CT","BYRAM",1098,1 
"09001","0108.00","1","06807","Fairfield CT","COS COB",708,1 
"09001","0108.00","2","06807","Fairfield CT","COS COB",755,0.6771 
"09001","0108.00","2","06830","Fairfield CT","BYRAM",360,0.3229 
"09001","0108.00","3","06807","Fairfield CT","COS COB",388,0.4141 
"09001","0108.00","3","06830","Fairfield CT","BYRAM",549,0.5859 
"09001","0108.00","4","06807","Fairfield CT","COS COB",626,1 
"09001","0109.00","1","06870","Fairfield CT","OLD GREENWICH",1309,1 
"09001","0109.00","2","06870","Fairfield CT","OLD GREENWICH",248,0.1545 
"09001","0109.00","2","06878","Fairfield CT","RIVERSIDE",1357,0.8455 
"09001","0109.00","3","06878","Fairfield CT","RIVERSIDE",1006,1 
"09001","0109.00","4","06807","Fairfield CT","COS COB",51,0.0572 
"09001","0109.00","4","06878","Fairfield CT","RIVERSIDE",841,0.9428 
"09001","0110.00","1","06870","Fairfield CT","OLD GREENWICH",733,1 
"09001","0110.00","2","06870","Fairfield CT","OLD GREENWICH",1950,1 
"09001","0110.00","4","06870","Fairfield CT","OLD GREENWICH",916,1 
"09001","0110.00","5","06870","Fairfield CT","OLD GREENWICH",798,1 
"09001","0110.00","6","06870","Fairfield CT","OLD GREENWICH",746,1 
"09001","0111.00","1","06870","Fairfield CT","OLD GREENWICH",101,0.0717 
"09001","0111.00","1","06878","Fairfield CT","RIVERSIDE",1307,0.9283 
"09001","0111.00","2","06878","Fairfield CT","RIVERSIDE",955,1 
"09001","0111.00","3","06878","Fairfield CT","RIVERSIDE",845,1 
"09001","0111.00","4","06878","Fairfield CT","RIVERSIDE",1413,1 
"09001","0112.00","1","06830","Fairfield CT","BYRAM",1001,1 
"09001","0112.00","2","06830","Fairfield CT","BYRAM",765,1 
"09001","0113.00","1","06830","Fairfield CT","BYRAM",1497,1 
"09001","0113.00","2","06830","Fairfield CT","BYRAM",921,1 
"09001","0113.00","3","06830","Fairfield CT","BYRAM",542,1 
"09001","0201.00","1","06901","Fairfield CT","STAMFORD",828,0.5734 
"09001","0201.00","1","06902","Fairfield CT","STAMFORD",616,0.4266 
"09001","0201.00","2","06901","Fairfield CT","STAMFORD",1319,1 
"09001","0201.00","3","06901","Fairfield CT","STAMFORD",1127,1 
"09001","0202.00","1","06831","Fairfield CT","GREENWICH",174,0.1013 
"09001","0202.00","1","06903","Fairfield CT","STAMFORD",1544,0.8987 
"09001","0202.00","2","06903","Fairfield CT","STAMFORD",1956,1 
"09001","0203.00","1","06903","Fairfield CT","STAMFORD",1480,1 
"09001","0203.00","2","06903","Fairfield CT","STAMFORD",2484,1 
"09001","0203.00","3","06903","Fairfield CT","STAMFORD",1565,1 
"09001","0203.00","4","06903","Fairfield CT","STAMFORD",1746,1 
"09001","0204.00","1","06903","Fairfield CT","STAMFORD",1401,1 
"09001","0204.00","2","06903","Fairfield CT","STAMFORD",2175,1 
"09001","0205.00","1","06902","Fairfield CT","STAMFORD",1200,1 
"09001","0205.00","2","06902","Fairfield CT","STAMFORD",1064,1 
"09001","0205.00","3","06807","Fairfield CT","COS COB",11,0.0041 
"09001","0205.00","3","06902","Fairfield CT","STAMFORD",2443,0.9198 
"09001","0205.00","3","06903","Fairfield CT","STAMFORD",202,0.0761 
"09001","0206.00","1","06902","Fairfield CT","STAMFORD",195,0.1255 
"09001","0206.00","1","06903","Fairfield CT","STAMFORD",53,0.0341 
"09001","0206.00","1","06905","Fairfield CT","RIDGEWAY",1306,0.8404 
"09001","0206.00","2","06902","Fairfield CT","STAMFORD",13,0.009 
"09001","0206.00","2","06905","Fairfield CT","RIDGEWAY",1425,0.991 
"09001","0206.00","3","06902","Fairfield CT","STAMFORD",553,0.3311 
"09001","0206.00","3","06905","Fairfield CT","RIDGEWAY",1117,0.6689 
"09001","0207.00","1","06907","Fairfield CT","STAMFORD",882,1 
"09001","0207.00","2","06907","Fairfield CT","STAMFORD",845,1 
"09001","0207.00","3","06905","Fairfield CT","RIDGEWAY",445,0.3201 
"09001","0207.00","3","06907","Fairfield CT","STAMFORD",945,0.6799 
"09001","0207.00","4","06905","Fairfield CT","RIDGEWAY",1209,1 
"09001","0208.00","1","06905","Fairfield CT","RIDGEWAY",883,1 
"09001","0208.00","2","06905","Fairfield CT","RIDGEWAY",856,1 
"09001","0208.00","3","06905","Fairfield CT","RIDGEWAY",1006,1 
"09001","0209.00","1","06907","Fairfield CT","STAMFORD",1868,1 
"09001","0209.00","2","06907","Fairfield CT","STAMFORD",1270,1 
"09001","0209.00","3","06905","Fairfield CT","RIDGEWAY",203,0.1653 
"09001","0209.00","3","06907","Fairfield CT","STAMFORD",1025,0.8347 
"09001","0210.00","1","06906","Fairfield CT","STAMFORD",71,0.0692 
"09001","0210.00","1","06907","Fairfield CT","STAMFORD",955,0.9308 
"09001","0210.00","2","06905","Fairfield CT","RIDGEWAY",1026,0.4574 
"09001","0210.00","2","06907","Fairfield CT","STAMFORD",1217,0.5426 
"09001","0211.00","1","06906","Fairfield CT","STAMFORD",1891,1 
"09001","0211.00","2","06902","Fairfield CT","STAMFORD",405,0.1921 
"09001","0211.00","2","06906","Fairfield CT","STAMFORD",1703,0.8079 
"09001","0211.00","3","06905","Fairfield CT","RIDGEWAY",241,0.1589 
"09001","0211.00","3","06906","Fairfield CT","STAMFORD",1276,0.8411 
"09001","0212.00","1","06902","Fairfield CT","STAMFORD",1089,0.5253 
"09001","0212.00","1","06905","Fairfield CT","RIDGEWAY",984,0.4747 
"09001","0212.00","2","06905","Fairfield CT","RIDGEWAY",1186,1 
"09001","0212.00","3","06905","Fairfield CT","RIDGEWAY",874,1 
"09001","0213.00","1","06905","Fairfield CT","RIDGEWAY",1017,1 
"09001","0213.00","2","06902","Fairfield CT","STAMFORD",152,0.1006 
"09001","0213.00","2","06905","Fairfield CT","RIDGEWAY",1359,0.8994 
"09001","0213.00","3","06902","Fairfield CT","STAMFORD",932,0.7186 
"09001","0213.00","3","06905","Fairfield CT","RIDGEWAY",365,0.2814 
"09001","0214.00","1","06902","Fairfield CT","STAMFORD",1187,1 
"09001","0214.00","2","06902","Fairfield CT","STAMFORD",1255,1 
"09001","0214.00","3","06902","Fairfield CT","STAMFORD",1196,1 
"09001","0214.00","5","06902","Fairfield CT","STAMFORD",2719,1 
"09001","0215.00","1","06902","Fairfield CT","STAMFORD",1641,1 
"09001","0215.00","2","06902","Fairfield CT","STAMFORD",1693,1 
"09001","0215.00","3","06902","Fairfield CT","STAMFORD",1810,1 
"09001","0215.00","4","06902","Fairfield CT","STAMFORD",1774,1 
"09001","0216.00","1","06905","Fairfield CT","RIDGEWAY",1342,1 
"09001","0216.00","2","06902","Fairfield CT","STAMFORD",1297,0.874 
"09001","0216.00","2","06905","Fairfield CT","RIDGEWAY",187,0.126 
"09001","0216.00","3","06902","Fairfield CT","STAMFORD",172,0.166 
"09001","0216.00","3","06905","Fairfield CT","RIDGEWAY",864,0.834 
"09001","0216.00","4","06901","Fairfield CT","STAMFORD",246,0.0992 
"09001","0216.00","4","06905","Fairfield CT","RIDGEWAY",2235,0.9008 
"09001","0217.00","1","06902","Fairfield CT","STAMFORD",1509,1 
"09001","0217.00","2","06901","Fairfield CT","STAMFORD",603,1 
"09001","0217.00","3","06901","Fairfield CT","STAMFORD",1050,0.8523 
"09001","0217.00","3","06902","Fairfield CT","STAMFORD",182,0.1477 
"09001","0217.00","4","06901","Fairfield CT","STAMFORD",1225,0.7261 
"09001","0217.00","4","06902","Fairfield CT","STAMFORD",462,0.2739 
"09001","0217.00","5","06902","Fairfield CT","STAMFORD",946,1 
"09001","0218.01","1","06906","Fairfield CT","STAMFORD",806,1 
"09001","0218.01","2","06902","Fairfield CT","STAMFORD",1416,0.6568 
"09001","0218.01","2","06906","Fairfield CT","STAMFORD",740,0.3432 
"09001","0218.01","3","06902","Fairfield CT","STAMFORD",629,0.4794 
"09001","0218.01","3","06906","Fairfield CT","STAMFORD",683,0.5206 
"09001","0218.02","1","06902","Fairfield CT","STAMFORD",968,0.5625 
"09001","0218.02","1","06906","Fairfield CT","STAMFORD",753,0.4375 
